-2.2	-0.266
-2.09	-0.265
-1.98	-0.2656
-1.87	-0.2654
-1.76	-0.2656
-1.65	-0.2655
-1.54	-0.2652
-1.43	-0.2653
-1.32	-0.2652
-1.21	-0.2658
-1.1	-0.2656
-0.99	-0.2648
-0.88	-0.2661
-0.77	-0.2653
-0.66	-0.2651
-0.55	-0.2647
22.3	0.0926	0.16619
22.41	0.0923	0.166253
22.52	0.0928	0.167116
22.63	0.0921	0.166779
22.74	0.0918	0.166842
22.85	0.0914	0.166805
22.96	0.0909	0.166668
23.12	0.0915	0.167796
23.23	0.0912	0.167859
23.34	0.0906	0.167622
23.45	0.0907	0.168085
23.56	0.0904	0.168148
23.67	0.0899	0.168011
23.78	0.0898	0.168274
23.89	0.0899	0.168737
24	0.0887	0.1679
24.11	0.0896	0.169163
24.22	0.0896	0.169526
24.33	0.0881	0.168389
24.44	0.089	0.169652
24.55	0.0885	0.169515
24.66	0.0874	0.168778
24.77	0.0881	0.169841
24.88	0.0884	0.170504
24.99	0.0883	0.170767
25.1	0.0869	0.16973
25.21	0.0861	0.169293
25.32	0.0871	0.170656
25.43	0.0868	0.170719
25.54	0.0856	0.169882
25.65	0.0849	0.169545
25.76	0.0847	0.169708
25.87	0.084	0.169371
25.98	0.0837	0.169434
26.09	0.0833	0.169397
26.2	0.0831	0.16956
26.31	0.0832	0.170023
26.42	0.083	0.170186
26.53	0.0821	0.169649
26.64	0.0817	0.169612
26.75	0.0815	0.169775
26.86	0.0812	0.169838
26.97	0.0806	0.169601
27.08	0.0803	0.169664
27.19	0.0803	0.170027
27.3	0.0804	0.17049
27.41	0.0794	0.169853
27.52	0.0793	0.170116
27.63	0.0788	0.169979
27.74	0.0784	0.169942
27.85	0.0777	0.169605
27.95	0.0775	0.169735
28.06	0.0777	0.170298
28.17	0.0768	0.169761
28.28	0.0767	0.170024
28.39	0.0761	0.169787
28.5	0.0759	0.16995
28.61	0.0756	0.170013
28.72	0.0749	0.169676
28.83	0.0752	0.170339
28.94	0.0748	0.170302
29.05	0.0736	0.169465
29.16	0.0734	0.169628
29.27	0.0735	0.170091
29.38	0.0735	0.170454
29.49	0.0733	0.170617
29.6	0.0719	0.16958
29.71	0.0716	0.169643
29.82	0.0707	0.169106
